Suburb,Rooms,Type,Landsize,BuildingArea,YearBuilt,Price
Abbotsford,2,h,156,79,1900,1035000
Abbotsford,3,h,134,150,1900,1465000
Abbotsford,4,h,120,142,2014,1600000
Abbotsford,3,h,245,210,1910,1876000
Abbotsford,2,h,256,107,1890,1636000
Abbotsford,2,h,220,75,1900,1097000
Abbotsford,3,h,138,105,1890,1176500
Abbotsford,2,h,150,73,1985,890000
Abbotsford,4,h,780,135,1900,1330000
Abbotsford,2,h,124,135,2013,1100000
Abbotsford,2,h,147,85,1900,1315000
Abbotsford,3,h,166,174,2012,1447500
Abbotsford,2,h,98,128,1920,1135000
Abbotsford,3,h,168,124,1950,1290000
Abbotsford,2,h,162,91,1900,1180000
Abbotsford,3,h,120,128,1998,1195000
Abbotsford,2,h,182,82,1900,1012500
Abbotsford,2,h,172,81,1930,1030000
Airport West,3,t,303,225,2016,840000
Airport West,2,h,272,84,1950,603000
Airport West,3,h,290,116,1980,600000
Airport West,6,h,976,186,1980,725000
Airport West,2,t,110,90,2015,450000
Airport West,2,u,141,73,2013,515000
Airport West,2,u,120,94,2012,530000
Airport West,3,h,1063,133,1975,895000
Airport West,3,u,265,130,1993,752000
Airport West,3,t,165,133,2009,700000
Airport West,3,h,971,113,1960,830000
Airport West,2,h,612,100,1975,675000
Airport West,3,h,555,192,1980,810000
Airport West,3,h,422,126,1995,715000
Airport West,3,t,161,101,2010,540000
Airport West,3,t,293,102,1960,825000
Airport West,3,h,579,113,1975,685000
Albert Park,2,h,120,82,1900,1275000
Albert Park,3,h,211,198,1890,2850000
Albert Park,3,h,128,133,1890,1850000
Albert Park,2,h,130,81,1900,1436000
Albert Park,4,h,153,180,1880,2300000
Albert Park,3,h,132,159,1996,1800000
Albert Park,2,h,199,107,1900,2120000
Albert Park,3,h,177,181,1880,2615000
Albert Park,2,h,149,98,1890,1322500
Albert Park,2,h,141,83,1890,1562500
Albert Park,3,h,211,147,1900,2000000
Albert Park,3,h,147,146,1890,3010000
Albert Park,3,h,120,123,1900,2100000
Albert Park,3,h,238,131,1890,2000000
Albert Park,4,h,330,207,1910,4735000
Albert Park,4,h,183,145,1880,2140000
Albert Park,3,h,147,134,1890,1740000
Alphington,4,h,599,203,1925,1717500
Alphington,5,h,809,165,1910,2840000
Alphington,2,u,88,60,1960,525500
Alphington,2,t,155,140,2004,805000
Alphington,4,h,606,112,1970,1830000
Alphington,4,h,575,271,2008,2100000
Alphington,3,h,180,131,2010,865000
Alphington,4,h,556,272,1930,1900000
Alphington,4,h,589,210,1920,1950000
Altona,3,h,352,242,2015,520000
Altona,5,h,729,268,2005,1525000
Altona,2,t,292,125,2013,720000
Altona,3,h,506,120,1930,1120000
Altona,4,h,1057,220,1962,1780000
Altona,3,u,311,94,1955,630000
Altona,3,h,602,123,1955,660000
Altona,2,u,225,93,1988,580000
Altona,3,h,777,22,1953,1335000
Altona,2,u,127,76,1990,510000
Altona,2,u,115,57,1980,425000
Altona,4,h,745,130,1950,845000
Altona,2,u,137,77,1990,447000
Altona,2,u,175,76,2013,580000
Altona,3,h,534,136,1965,840000
Altona,3,u,205,113,2007,577000
Altona North,5,h,592,251,1965,1085000
Altona North,3,h,533,117,1970,781000
Altona North,2,t,77,77,2009,421000
Altona North,3,h,534,167,1967,683000
Altona North,3,h,328,118,1970,588000
Altona North,3,h,540,116,1960,710000
Altona North,4,h,559,169,1965,875000
Altona North,3,h,171,109,2012,675000
Altona North,3,h,585,97,1960,708000
Altona North,4,h,315,170,2008,693000
Altona North,3,h,276,100,2010,620000
Altona North,3,h,531,157,1960,728500
Altona North,3,h,590,160,1950,931000
Altona North,3,h,555,130,1960,815000
Altona North,4,h,633,158,1960,1200000
Altona North,2,u,153,70,1970,292000
Armadale,3,t,101,105,2000,1205000
Armadale,3,h,296,150,1889,1939000
Armadale,3,h,217,116,1888,1870000
Armadale,3,h,205,116,1910,2050000
Armadale,3,u,2113,14,1970,735000
Armadale,1,h,144,107,1900,1435000
